"B=10, a=0.021",,"B=50, a=0.035",,"B=100, a=0.015",,"B=700, a=0.015",
Iteration,Loss,Iteration,Loss,Iteration,Loss,Iteration,Loss
0,0.35,0,0.28,0,0.255,0,0.251429
1,0.205037,1,0.181975,1,0.202861,1,0.230516
2,0.222249,2,0.143749,2,0.174622,2,0.213607
3,0.194317,3,0.171046,3,0.266431,3,0.199895
4,0.127846,4,0.147953,4,0.198155,4,0.188739
5,0.217447,5,0.122157,5,0.183604,5,0.179628
6,0.16554,6,0.179906,6,0.170801,6,0.172154
7,0.106706,7,0.165546,7,0.166282,7,0.165993
8,0.101358,8,0.135164,8,0.150445,8,0.160885
9,0.136069,9,0.139253,9,0.137264,9,0.156623
10,0.132818,10,0.129629,10,0.193536,10,0.153042
11,0.106186,11,0.138243,11,0.156208,11,0.150012
12,0.182315,12,0.120717,12,0.151548,12,0.147426
13,0.10701,13,0.121938,13,0.14078,13,0.145201
14,0.105472,14,0.120051,14,0.140775,14,0.143269
15,0.168207,15,0.124552,15,0.13768,15,0.141577
16,0.127563,16,0.120568,16,0.129239,16,0.140081
17,0.180666,17,0.132042,17,0.16651,17,0.138748
18,0.12703,18,0.123912,18,0.141457,18,0.137548
19,0.11446,19,0.111741,19,0.139901,19,0.136461
20,0.150842,20,0.14097,20,0.129533,20,0.135468
21,0.112662,21,0.139071,21,0.131099,21,0.134554
22,0.0978734,22,0.118112,22,0.132912,22,0.133707
23,0.173738,23,0.122879,23,0.126288,23,0.132919
24,0.117662,24,0.120461,24,0.153976,24,0.132181
25,0.13169,25,0.120571,25,0.134176,25,0.131486
26,0.0936342,26,0.108898,26,0.133791,26,0.13083
27,0.119777,27,0.112987,27,0.123677,27,0.130209
28,0.0953312,28,0.112036,28,0.126008,28,0.129618
29,0.113239,29,0.116658,29,0.129806,29,0.129055
30,0.14035,30,0.112605,30,0.124027,30,0.128517
31,0.137539,31,0.125045,31,0.146903,31,0.128002
32,0.119643,32,0.115778,32,0.129488,32,0.127507
33,0.1681,33,0.107517,33,0.129642,33,0.127033
34,0.142492,34,0.131369,34,0.119815,34,0.126576
35,0.161767,35,0.132075,35,0.122642,35,0.126137
36,0.129663,36,0.111238,36,0.127238,36,0.125713
37,0.15277,37,0.116824,37,0.121914,37,0.125305
38,0.116471,38,0.116344,38,0.142292,38,0.12491
39,0.107114,39,0.113308,39,0.126027,39,0.124529
40,0.137763,40,0.103927,40,0.126478,40,0.12416
41,0.126535,41,0.109462,41,0.116953,41,0.123803
42,0.104886,42,0.108671,42,0.120149,42,0.123458
43,0.103251,43,0.112613,43,0.125036,43,0.123123
44,0.123862,44,0.108748,44,0.119987,44,0.122799
45,0.135031,45,0.121288,45,0.138971,45,0.122484
46,0.120268,46,0.111357,46,0.123312,46,0.122179
47,0.114275,47,0.105352,47,0.123949,47,0.121883
48,0.120071,48,0.125851,48,0.114717,48,0.121596
49,0.118057,49,0.127785,49,0.118199,49,0.121316
50,0.1325,50,0.107434,50,0.12316,50,0.121045
51,0.0938072,51,0.113202,51,0.118292,51,0.120781
52,0.13465,52,0.113675,52,0.136409,52,0.120524
53,0.119016,53,0.109065,53,0.121113,53,0.120274
54,0.111485,54,0.101072,54,0.12188,54,0.120031
55,0.0960588,55,0.107278,55,0.112921,55,0.119794
56,0.133311,56,0.106461,56,0.116624,56,0.119564
57,0.119525,57,0.109827,57,0.121567,57,0.119339
58,0.0958106,58,0.106278,58,0.116827,58,0.119119
59,0.138347,59,0.118511,59,0.134331,59,0.118906
60,0.102068,60,0.108251,60,0.119292,60,0.118697
61,0.122627,61,0.103785,61,0.120156,61,0.118493
62,0.117019,62,0.121859,62,0.111449,62,0.118294
63,0.0993184,63,0.124496,63,0.11532,63,0.118099
64,0.0878312,64,0.104767,64,0.120211,64,0.117909
65,0.115621,65,0.110505,65,0.115567,65,0.117724
66,0.113775,66,0.111549,66,0.132585,66,0.117542
67,0.101784,67,0.106025,67,0.117757,67,0.117364
68,0.0968792,68,0.099052,68,0.118695,68,0.11719
69,0.128403,69,0.105615,69,0.110222,69,0.117019
70,0.123561,70,0.10474,70,0.114217,70,0.116852
71,0.0946582,71,0.107632,71,0.119046,71,0.116689
72,0.111577,72,0.104408,72,0.114477,72,0.116528
73,0.106659,73,0.11621,73,0.131077,73,0.116371
74,0.10728,74,0.105801,74,0.116439,74,0.116216
75,0.113991,75,0.102505,75,0.117437,75,0.116065
76,0.130681,76,0.118681,76,0.109181,76,0.115916
77,0.0988483,77,0.12178,77,0.113266,77,0.11577
78,0.101811,78,0.102681,78,0.118032,78,0.115627
79,0.120824,79,0.108325,79,0.113525,79,0.115486
80,0.113434,80,0.109774,80,0.129746,80,0.115347
81,0.0974683,81,0.103625,81,0.115292,81,0.115211
82,0.120968,82,0.0974863,82,0.116336,82,0.115077
83,0.10093,83,0.104268,83,0.108284,83,0.114945
84,0.0911355,84,0.10334,84,0.11243,84,0.114815
85,0.131432,85,0.105834,85,0.117138,85,0.114687
86,0.118827,86,0.102906,86,0.112683,86,0.114561
87,0.139699,87,0.11425,87,0.128552,87,0.114438
88,0.106194,88,0.103788,88,0.114277,88,0.114315
89,0.111583,89,0.101442,89,0.11536,89,0.114195
90,0.121618,90,0.116046,90,0.1075,90,0.114076
91,0.10082,91,0.119485,91,0.111684,91,0.113959
92,0.0946769,92,0.10098,92,0.116338,92,0.113844
93,0.135117,93,0.106512,93,0.111929,93,0.11373
94,0.098055,94,0.108287,94,0.127466,94,0.113617
95,0.116423,95,0.101652,95,0.113367,95,0.113506
96,0.0941896,96,0.0962306,96,0.114481,96,0.113397
97,0.104934,97,0.103167,97,0.106804,97,0.113289
98,0.0857982,98,0.102196,98,0.111008,98,0.113182
99,0.106737,99,0.104344,99,0.115613,99,0.113076
100,0.115934,100,0.10168,100,0.111246,100,0.112972
101,0.114384,101,0.112576,101,0.126466,101,0.112869
102,0.104641,102,0.10211,102,0.112542,102,0.112767
103,0.151128,103,0.100568,103,0.113681,103,0.112666
104,0.12039,104,0.113817,104,0.106179,104,0.112566
105,0.140783,105,0.117527,105,0.110388,105,0.112467
106,0.118869,106,0.0995694,106,0.114948,106,0.11237
107,0.139772,107,0.10499,107,0.110619,107,0.112273
108,0.101954,108,0.107049,108,0.125538,108,0.112178
109,0.100203,109,0.0999993,109,0.111787,109,0.112083
110,0.116152,110,0.0952115,110,0.112945,110,0.111989
111,0.114057,111,0.102271,111,0.10561,111,0.111897
112,0.0940372,112,0.101264,112,0.109813,112,0.111805
113,0.0939159,113,0.103106,113,0.114331,113,0.111714
114,0.114836,114,0.100677,114,0.110038,114,0.111624
115,0.118557,115,0.111148,115,0.124668,115,0.111534
116,0.108281,116,0.100703,116,0.111088,116,0.111446
117,0.10266,117,0.0998582,117,0.112261,117,0.111358
118,0.114487,118,0.11191,118,0.105088,118,0.111271
119,0.110071,119,0.115849,119,0.109276,119,0.111185
120,0.121521,120,0.098393,120,0.113756,120,0.1111
121,0.0904755,121,0.103709,121,0.109496,121,0.111015
122,0.121086,122,0.106022,122,0.123849,122,0.110931
123,0.110019,123,0.098605,123,0.110437,123,0.110848
124,0.110562,124,0.0943821,124,0.111622,124,0.110765
125,0.0874222,125,0.101545,125,0.104605,125,0.110683
126,0.125214,126,0.100509,126,0.108772,126,0.110602
127,0.103029,127,0.102077,127,0.113214,127,0.110522
128,0.0901385,128,0.0998569,128,0.108987,128,0.110442
129,0.121339,129,0.109931,129,0.123074,129,0.110362
130,0.0933212,130,0.0995216,130,0.109826,130,0.110284
131,0.110143,131,0.0992894,131,0.111021,131,0.110206
132,0.112156,132,0.110268,132,0.104154,132,0.110128
133,0.0920832,133,0.114408,133,0.108294,133,0.110051
134,0.0859169,134,0.0974093,134,0.112701,134,0.109975
135,0.108455,135,0.102627,135,0.108506,135,0.109899
136,0.109944,136,0.105175,136,0.122336,136,0.109824
137,0.0927206,137,0.0974238,137,0.109251,137,0.109749
138,0.0944181,138,0.0937074,138,0.110452,138,0.109675
139,0.123871,139,0.100962,139,0.103731,139,0.109601
140,0.116999,140,0.0998998,140,0.10784,140,0.109528
141,0.0934019,141,0.101218,141,0.112213,141,0.109455
142,0.10468,142,0.0991891,142,0.108049,142,0.109383
143,0.100581,143,0.108895,143,0.121633,143,0.109311
144,0.102045,144,0.0985266,144,0.108706,144,0.10924
145,0.105473,145,0.098839,145,0.109912,145,0.109169
146,0.119854,146,0.108847,146,0.103332,146,0.109099
147,0.0957717,147,0.113167,147,0.107408,147,0.109029
148,0.100581,148,0.096586,148,0.111747,148,0.10896
149,0.112435,149,0.101714,149,0.107614,149,0.108891
150,0.107206,150,0.104477,150,0.120959,150,0.108823
151,0.0936628,151,0.0964209,151,0.108188,151,0.108755
152,0.109088,152,0.0931602,152,0.109397,152,0.108687
153,0.099987,153,0.100497,153,0.102955,153,0.10862
154,0.0876625,154,0.0994117,154,0.106995,154,0.108554
155,0.121462,155,0.100503,155,0.111301,155,0.108487
156,0.115469,156,0.0986473,156,0.107198,156,0.108422
157,0.127441,157,0.108013,157,0.120313,157,0.108356
158,0.101202,158,0.0976881,158,0.107694,158,0.108291
159,0.109609,159,0.0984868,159,0.108905,159,0.108226
160,0.114478,160,0.107613,160,0.102596,160,0.108162
161,0.0972712,161,0.112095,161,0.1066,161,0.108098
162,0.0923806,162,0.0958967,162,0.110873,162,0.108035
163,0.120601,163,0.100941,163,0.106801,163,0.107972
164,0.0922513,164,0.103905,164,0.119692,164,0.107909
165,0.109334,165,0.0955681,165,0.107222,165,0.107847
166,0.0948272,166,0.092718,166,0.108433,166,0.107785
167,0.0998785,167,0.100129,167,0.102255,167,0.107724
168,0.0828827,168,0.0990231,168,0.106221,168,0.107663
169,0.104372,169,0.0999057,169,0.110462,169,0.107602
170,0.108411,170,0.0982096,170,0.106419,170,0.107541
171,0.106384,171,0.107262,171,0.119095,171,0.107481
172,0.10007,172,0.0969806,172,0.10677,172,0.107421
173,0.139921,173,0.0982156,173,0.107981,173,0.107362
174,0.110629,174,0.106537,174,0.10193,174,0.107303
175,0.129478,175,0.111168,175,0.105858,175,0.107244
176,0.112774,176,0.0953195,176,0.110066,176,0.107186
177,0.131251,177,0.100287,177,0.106053,177,0.107128
178,0.0962048,178,0.103437,178,0.118519,178,0.10707
179,0.0975859,179,0.0948419,179,0.106337,179,0.107013
180,0.106161,180,0.0923623,180,0.107547,180,0.106956
181,0.109517,181,0.0998423,181,0.101619,181,0.106899
182,0.0900907,182,0.0987162,182,0.105509,182,0.106843
183,0.0910011,183,0.0994073,183,0.109685,183,0.106787
184,0.111085,184,0.097858,184,0.105701,184,0.106731
185,0.110053,185,0.106623,185,0.117964,185,0.106676
186,0.102219,186,0.0963831,186,0.105921,186,0.106621
187,0.0988031,187,0.0980106,187,0.107129,187,0.106566
188,0.110876,188,0.105597,188,0.101322,188,0.106512
189,0.106323,189,0.110364,189,0.105174,189,0.106458
190,0.114867,190,0.0948363,190,0.109317,190,0.106404
191,0.0898943,191,0.0997338,191,0.105363,191,0.10635
192,0.113283,192,0.103055,192,0.117428,192,0.106297
193,0.105276,193,0.0942228,193,0.105521,193,0.106244
194,0.109727,194,0.0920779,194,0.106727,194,0.106192
195,0.0846452,195,0.0996207,195,0.101038,195,0.106139
196,0.120245,196,0.0984762,196,0.104851,196,0.106087
197,0.0950936,197,0.0989912,197,0.108963,197,0.106036
198,0.0882591,198,0.0975772,198,0.105038,198,0.105984
199,0.112119,199,0.106077,199,0.11691,199,0.105933
200,0.0896859,200,0.0958782,200,0.105136,200,0.105882
201,0.103475,201,0.0978592,201,0.10634,201,0.105831
202,0.109279,202,0.104774,202,0.100765,202,0.105781
203,0.0889591,203,0.109665,203,0.104541,203,0.105731
204,0.0859848,204,0.0944317,204,0.108621,204,0.105681
205,0.104478,205,0.0992645,205,0.104724,205,0.105632
206,0.107868,206,0.102745,206,0.116409,206,0.105583
207,0.0882928,207,0.0936944,207,0.104765,207,0.105534
208,0.0936467,208,0.091852,208,0.105967,208,0.105485
209,0.121204,209,0.0994526,209,0.100504,209,0.105437
210,0.11303,210,0.0982907,210,0.104243,210,0.105389
211,0.0931678,211,0.0986437,211,0.108291,211,0.105341
212,0.100649,212,0.0973546,212,0.104423,212,0.105293
213,0.0971937,213,0.105611,213,0.115925,213,0.105246
214,0.0994009,214,0.095451,214,0.104408,214,0.105199
215,0.100041,215,0.0977513,215,0.105607,215,0.105152
216,0.113269,216,0.104052,216,0.100253,216,0.105105
217,0.0950637,217,0.109057,217,0.103957,217,0.105059
218,0.100469,218,0.094093,218,0.107972,218,0.105013
219,0.107326,219,0.0988663,219,0.104132,219,0.104967
220,0.103317,220,0.102493,220,0.115456,220,0.104922
221,0.0915245,221,0.0932427,221,0.104064,221,0.104876
222,0.102547,222,0.0916742,222,0.105261,222,0.104831
223,0.0997341,223,0.0993276,223,0.100013,223,0.104787
224,0.0859991,224,0.0981497,224,0.103681,224,0.104742
225,0.115129,225,0.0983536,225,0.107664,225,0.104698
226,0.113377,226,0.0971797,226,0.103853,226,0.104654
227,0.119762,227,0.105212,227,0.115002,227,0.10461
228,0.098478,228,0.0950894,228,0.103732,228,0.104566
229,0.108552,229,0.0976782,229,0.104926,229,0.104523
230,0.110411,230,0.103417,230,0.0997824,230,0.10448
231,0.0957197,231,0.108527,231,0.103416,231,0.104437
232,0.091101,232,0.0938096,232,0.107367,232,0.104394
233,0.111469,233,0.098528,233,0.103584,233,0.104352
234,0.0891191,234,0.102291,234,0.114563,234,0.10431
235,0.104907,235,0.0928561,235,0.103412,235,0.104268
236,0.0957203,236,0.0915356,236,0.104603,236,0.104226
237,0.0970155,237,0.0992376,237,0.0995612,237,0.104185
238,0.0813123,238,0.0980447,238,0.103161,238,0.104143
239,0.103157,239,0.0981113,239,0.10708,239,0.104102
240,0.104061,240,0.0970437,240,0.103324,240,0.104061
241,0.101672,241,0.104871,241,0.114137,241,0.104021
242,0.097693,242,0.094783,242,0.103104,242,0.103981
243,0.132144,243,0.0976327,243,0.104292,243,0.10394
244,0.104581,244,0.102857,244,0.0993489,244,0.1039
245,0.121876,245,0.108063,245,0.102915,245,0.103861
246,0.108913,246,0.0935724,246,0.106803,246,0.103821
247,0.125364,247,0.0982404,247,0.103075,247,0.103782
248,0.0929006,248,0.102128,248,0.113725,248,0.103743
249,0.0964257,249,0.0925246,249,0.102806,249,0.103704
250,0.0998498,250,0.091429,250,0.103991,250,0.103665
251,0.106999,251,0.0991757,251,0.0991452,251,0.103627
